범죄분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
살인기수,30,32,32,36,39,51,41,60,35
살인미수등,47,38,42,53,62,70,67,131,48
강도,147,200,78,71,103,86,136,142,186
강간,695,743,366,301,294,287,405,703,1361
유사강간,68,80,39,44,29,54,47,78,144
강제추행,1771,1737,1282,992,1112,1513,2084,2926,2637
기타 강간 강제추행등,47,53,17,25,25,34,42,55,110
방화,173,185,106,130,144,157,217,265,125
절도범죄,15516,15827,13871,22842,26339,28529,29447,25121,25545
상해,6054,4735,3027,3982,3839,4687,6470,10354,6880
폭행,22672,18194,9597,11261,11586,14027,21765,39182,17519
체포 감금,103,92,103,146,128,169,183,200,194
협박,1081,797,1047,1810,1710,1973,2279,2711,2462
약취 유인,7,9,9,28,26,33,31,14,44
폭력행위등,2136,2002,758,667,741,979,1427,2651,1941
공갈,161,106,88,353,326,435,449,381,1446
손괴,5793,4615,3924,5178,4860,6210,9796,11768,6983
직무유기,3,5,7,132,38,19,11,9,307
직권남용,16,10,11,76,44,29,20,33,198
증수뢰,3,1,3,37,13,11,11,8,173
통화,18,17,49,339,157,174,89,48,920
문서 인장,215,151,85,2525,992,528,392,469,7938
유가증권인지,0,3,0,50,24,5,4,0,133
사기,5252,3886,2794,41443,24374,16628,11863,10968,124405
횡령,2269,1968,1974,6730,5269,4968,5217,5152,16506
배임,14,0,9,1096,417,72,37,15,2698
성풍속범죄,564,448,754,1133,1261,1833,1708,1740,3278
도박범죄,415,221,194,976,994,1348,1751,1590,5957
특별경제범죄,2527,1845,1875,8422,6524,6044,5757,8043,23988
마약범죄,244,184,145,591,641,837,829,732,3126
보건범죄,506,270,148,1905,990,1867,980,1570,6426
환경범죄,21,42,490,914,501,463,62,66,1790
교통범죄,40532,37506,54513,66856,63468,76556,84797,138810,37363
노동범죄,14,11,9,620,73,29,35,87,1579
안보범죄,3,2,4,15,6,8,7,7,29
선거범죄,10,15,42,168,88,88,92,43,472
병역범죄,6,0,23,2534,610,89,80,35,13274
기타범죄,12672,11835,11130,42558,24120,26776,24349,31567,75532
