범죄분류,자기집,공범집,애인집,친족집,지인집,숙박업소,야외,현장검거,외국,기타,미상
살인기수,99,0,3,3,3,13,14,87,2,86,69
살인미수등,81,0,4,6,7,18,24,304,3,103,66
강도,574,5,14,9,36,100,69,237,8,505,159
강간,2576,6,20,13,39,79,38,513,7,861,1677
유사강간,303,0,1,1,10,9,3,73,0,91,107
강제추행,6239,2,15,14,45,95,157,4793,6,2307,2343
기타 강간 강제추행등,288,0,1,3,5,4,12,72,4,80,52
방화,432,0,2,5,15,10,19,494,0,284,135
소계,52954,187,240,258,957,2386,2199,11838,62,26408,8926
상해,25854,15,81,118,180,212,291,19610,25,14163,5146
폭행,41766,25,116,210,237,208,600,47838,12,20862,104983
체포 감금,442,2,7,2,14,23,15,331,1,281,569
협박,5144,3,21,25,32,33,93,3963,2,3039,4470
약취 유인,106,2,2,3,5,5,1,37,0,55,89
폭력행위등,14198,45,29,35,141,131,230,11344,17,7809,6984
공갈,1402,1,15,4,16,32,41,243,5,904,975
손괴,12605,5,40,64,101,98,149,10525,4,6122,5282
직무유기,79,0,0,0,0,0,0,0,0,78,485
직권남용,65,0,0,0,0,0,0,0,0,30,482
증수뢰,370,0,0,1,0,3,2,6,0,234,172
통화,45,0,0,1,1,8,0,3,1,34,127
문서 인장,5190,5,16,28,63,43,26,751,33,3271,8598
유가증권인지,73,0,0,1,2,1,1,2,2,57,234
사기,54789,71,435,607,1286,2406,459,7353,519,43816,111469
횡령,12209,11,37,71,137,194,140,791,45,6643,15305
배임,1699,1,3,9,15,5,2,11,8,992,4863
성풍속범죄,5230,2,9,13,16,65,98,2880,3,2007,884
도박범죄,13569,39,21,22,84,64,28,11493,111,6766,1745
특별경제범죄,24841,17,38,53,132,211,112,13701,109,15014,23441
마약범죄,3832,6,79,39,108,352,45,704,24,2331,923
보건범죄,10789,2,8,3,31,22,12,1281,16,6656,2829
환경범죄,2059,0,0,1,0,1,6,183,2,1090,460
교통범죄,59366,62,47,138,485,299,2090,222216,29,102685,167935
노동범죄,3538,0,0,2,6,2,0,94,2,1806,410
안보범죄,27,0,1,0,1,0,1,5,0,42,74
선거범죄,667,0,0,1,0,1,4,43,0,354,455
병역범죄,8472,2,78,69,261,191,39,45,44,5799,659
기타범죄,114661,87,161,228,664,652,487,53725,177,68914,71114
